Country, GDP , compGrowth ,avgAnnuTemp
AUS,1190221.00,0.02749,21.65
AUT,412249.40,0.01755,6.35
BEL,496297.60,0.02104,9.55
CAN,1684775.00,0.01862,-5.35
CZE,369667.70,0.01859,7.55
DNK,276756.80,0.01994,7.5
FIN,232163.70,0.01462,1.7
FRA,2683031.00,0.0199,10.7
DEU,3831374.00,0.01358,8.5
GRC,282030.50,0.01212,15.4
HUN,278925.30,0.01613,9.75
ISL,16877.54,0.02332,1.75
IRL,348117.70,0.02472,9.3
ITA,2130927.00,0.01201,13.45
JPN,4986639.00,0.0114,11.15
KOR,2034655.00,0.01758,11.5
LUX,58205.21,0.02966,8.65
MEX,2285064.00,0.02451,21
NLD,880130.90,0.02091,9.25
NZL,181776.80,0.02487,10.55
NOR,335085.70,0.02066,1.5
POL,1113723.00,0.01159,7.85
PRT,307469.00,0.01409,15.15
SVK,183557.40,0.01962,6.8
ESP,1671748.00,0.01458,13.3
SWE,492578.90,0.02283,2.1
CHE,490747.60,0.01836,5.5
TUR,2308404.00,0.03201,11.1
GBR,2695542.00,0.02082,8.45
USA,18587190.00,0.01862,8.55
BRA,3172702.00,0.01911,24.95
CHL,426878.30,0.01996,8.45
CHN,24896400.00,0.02414,6.95
EST,40532.08,0.01658,5.1
IND,10074210.00,0.04486,23.65
IDN,3369484.00,0.03591,25.85
ISR,313113.50,0.03196,19.2
RUS,3582791.00,0.00773,-5.1
SVN,69257.93,0.01367,8.9
ZAF,739611.80,0.02726,17.75
ARG,902409.50,0.02584,14.8
COL,695907.30,0.01986,24.5
CRI,82940.85,0.02493,24.8
LVA,51911.12,0.01165,5.6
LTU,86373.02,0.00795,6.2
SAU,1686648.00,0.02127,24.65
